time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2021/01/19/22:13:10.157615,622,1611074590,157248085,world,-0.0461957193911,1.11491513252,0.708187162876,0.0437044613063,0.0348465293646,0.0632839277387,0.996429026127
2021/01/19/22:13:10.177701,623,1611074590,177261271,world,-0.0402580946684,1.11430239677,0.708341479301,0.0465811081231,0.0323369428515,0.060316465795,0.996567368507
2021/01/19/22:13:10.197679,624,1611074590,197260308,world,-0.0336169786751,1.11382627487,0.708506345749,0.0489853732288,0.036658462137,0.0571830756962,0.99648720026
2021/01/19/22:13:10.207654,625,1611074590,207265937,world,-0.0270098559558,1.1134314537,0.708696305752,0.0415044799447,0.0307023767382,0.0541749037802,0.997196018696
2021/01/19/22:13:10.227688,626,1611074590,227257863,world,-0.0196292176843,1.11264801025,0.708546280861,0.049350913614,0.0292702689767,0.0516577102244,0.997015237808
2021/01/19/22:13:10.247685,627,1611074590,247247622,world,-0.0136014018208,1.11123454571,0.708397626877,0.047521520406,0.0346963256598,0.0462442524731,0.997195780277
2021/01/19/22:13:10.257663,628,1611074590,257285678,world,-0.0087207229808,1.11029529572,0.708330094814,0.0459397882223,0.0346121378243,0.0422371178865,0.997450530529
2021/01/19/22:13:10.277683,629,1611074590,277257993,world,-0.00405214820057,1.10917580128,0.709044158459,0.0484179519117,0.0293468851596,0.0395026057959,0.997614204884
2021/01/19/22:13:10.297674,630,1611074590,297256085,world,0.00163426343352,1.10800719261,0.709122955799,0.0495809875429,0.0314670056105,0.0355313792825,0.997641742229
2021/01/19/22:13:10.307650,631,1611074590,307266604,world,0.0077419267036,1.10744702816,0.708832383156,0.0490870289505,0.0330570079386,0.0320935249329,0.997731328011
2021/01/19/22:13:10.327631,632,1611074590,327249993,world,0.0135859344155,1.1065928936,0.70834416151,0.0446733795106,0.0298449825495,0.0282066129148,0.998157262802
2021/01/19/22:13:10.347636,633,1611074590,347243270,world,0.019657401368,1.10558152199,0.708669364452,0.0520921126008,0.032760489732,0.0246089026332,0.997801423073
2021/01/19/22:13:10.357677,634,1611074590,357246863,world,0.0250192899257,1.10489761829,0.708697915077,0.0470514148474,0.032224226743,0.0203797705472,0.998164534569
2021/01/19/22:13:10.377741,635,1611074590,377271678,world,0.0299752466381,1.10407924652,0.708426952362,0.0445030890405,0.030777009204,0.0167402941734,0.998394787312
2021/01/19/22:13:10.397719,636,1611074590,397257400,world,0.0354861170053,1.10289728642,0.709097325802,0.051531881094,0.0299888849258,0.0133850546554,0.998131275177
2021/01/19/22:13:10.407698,637,1611074590,407267826,world,0.0410390309989,1.10185801983,0.70889121294,0.0479664951563,0.0277046822011,0.00863091275096,0.998427391052
2021/01/19/22:13:10.427639,638,1611074590,427249604,world,0.0476950407028,1.10084044933,0.709021687508,0.0466513894498,0.0298296846449,0.00452799070626,0.998455524445
2021/01/19/22:13:10.447674,639,1611074590,447252826,world,0.0541963353753,1.09940612316,0.708768665791,0.0496863909066,0.033677726984,0.00146340823267,0.998195827007
2021/01/19/22:13:10.457615,640,1611074590,457250437,world,0.0596137866378,1.09798622131,0.708692729473,0.046367239207,0.0283675771207,-0.00243713334203,0.998518645763
2021/01/19/22:13:10.477784,641,1611074590,477321900,world,0.0661686435342,1.09627449512,0.708667099476,0.0524885505438,0.0280556194484,-0.00513053452596,0.998214244843
2021/01/19/22:13:10.497673,642,1611074590,497254882,world,0.0729821994901,1.09463691711,0.708553016186,0.0497538819909,0.0327280797064,-0.00874485075474,0.998186886311
2021/01/19/22:13:10.507677,643,1611074590,507300882,world,0.0793215930462,1.09320139885,0.707877516747,0.0473631881177,0.031942974776,-0.0122337089851,0.998291969299
2021/01/19/22:13:10.527696,644,1611074590,527250604,world,0.0854708775878,1.0915620327,0.707898497581,0.0508188158274,0.0281424820423,-0.0155419632792,0.99819034338
2021/01/19/22:13:10.547685,645,1611074590,547244900,world,0.0920271202922,1.08987855911,0.70802283287,0.0516861267388,0.0305237043649,-0.0195192750543,0.998005986214
2021/01/19/22:13:10.557631,646,1611074590,557257326,world,0.0986495167017,1.08899569511,0.707749247551,0.0488570593297,0.0335966311395,-0.0226021241397,0.997984647751
2021/01/19/22:13:10.577949,647,1611074590,577420696,world,0.104427076876,1.08767485619,0.707631587982,0.0472042188048,0.0323201082647,-0.0267421007156,0.99800401926
2021/01/19/22:13:10.597782,648,1611074590,597248807,world,0.110239870846,1.08615922928,0.70783251524,0.0508956238627,0.0298200082034,-0.0301418974996,0.99780356884
2021/01/19/22:13:10.607749,649,1611074590,607258678,world,0.115767247975,1.08468091488,0.708320260048,0.0497689731419,0.0311997961253,-0.033139180392,0.99772310257
2021/01/19/22:13:10.627766,650,1611074590,627247474,world,0.120656594634,1.08314919472,0.708193957806,0.0456860288978,0.032136682421,-0.037916354835,0.997718632221
2021/01/19/22:13:10.647757,651,1611074590,647238789,world,0.125860497355,1.08122813702,0.708472251892,0.049835652113,0.0273278895766,-0.0406539589167,0.997555494308
2021/01/19/22:13:10.657768,652,1611074590,657279659,world,0.131586998701,1.07907867432,0.708545327187,0.0524099320173,0.0302438754588,-0.0450491048396,0.997150480747
2021/01/19/22:13:10.678159,653,1611074590,677586141,world,0.137226462364,1.07734572887,0.708342075348,0.0475340113044,0.0322285406291,-0.0478952936828,0.997200071812
2021/01/19/22:13:10.697989,654,1611074590,697306104,world,0.142338320613,1.07534253597,0.708467006683,0.0481487736106,0.0281088724732,-0.0518230162561,0.99709880352
2021/01/19/22:13:10.707918,655,1611074590,707264900,world,0.147392183542,1.072909832,0.708805561066,0.0532557033002,0.0274658035487,-0.0566064082086,0.996596872807
2021/01/19/22:13:10.727737,656,1611074590,727256344,world,0.152580350637,1.07135558128,0.70896846056,0.0496283955872,0.0287506598979,-0.0589924603701,0.996609449387
2021/01/19/22:13:10.747724,657,1611074590,747246122,world,0.157931908965,1.06943738461,0.70889621973,0.0460482016206,0.0257076025009,-0.0625052899122,0.996650338173
2021/01/19/22:13:10.757698,658,1611074590,757255807,world,0.163958087564,1.06724178791,0.709141910076,0.0553946457803,0.0282665733248,-0.0679757744074,0.995746850967
2021/01/19/22:13:10.778022,659,1611074590,777250733,world,0.169642731547,1.06518518925,0.70896089077,0.0510872527957,0.0299106054008,-0.0699797272682,0.995790302753
2021/01/19/22:13:10.797844,660,1611074590,797286937,world,0.174910694361,1.06370389462,0.708649635315,0.0478160567582,0.0261970981956,-0.0750381723046,0.995689094067
2021/01/19/22:13:10.807829,661,1611074590,807360696,world,0.181480020285,1.06135797501,0.708986759186,0.0551206767559,0.0263833142817,-0.0766450986266,0.995184004307
2021/01/19/22:13:10.827669,662,1611074590,827216437,world,0.187753677368,1.05955350399,0.708635270596,0.0496790297329,0.028031187132,-0.0803450718522,0.995133697987
2021/01/19/22:13:10.847726,663,1611074590,847246418,world,0.194017663598,1.05796432495,0.707872033119,0.0455427281559,0.0279290266335,-0.0842546224594,0.995011091232
2021/01/19/22:13:10.857704,664,1611074590,857256363,world,0.201070934534,1.05546200275,0.708042860031,0.0509925298393,0.0259898994118,-0.0858533084393,0.994662582874
2021/01/19/22:13:10.877737,665,1611074590,877253548,world,0.207704126835,1.05295610428,0.707523941994,0.0507131405175,0.0297904163599,-0.0913896560669,0.99407684803
2021/01/19/22:13:10.897755,666,1611074590,897263900,world,0.213734090328,1.05051910877,0.706949532032,0.0470142923295,0.0330365337431,-0.0955344289541,0.993766367435
2021/01/19/22:13:10.907637,667,1611074590,907264103,world,0.218871891499,1.04791247845,0.707337677479,0.0506338663399,0.0301143564284,-0.0985348522663,0.993388295174
2021/01/19/22:13:10.927631,668,1611074590,927245863,world,0.22379720211,1.04501914978,0.707682549953,0.0551642365754,0.0263308640569,-0.103067837656,0.992794394493
2021/01/19/22:13:10.947685,669,1611074590,947288363,world,0.229623243213,1.04270601273,0.707460820675,0.0486315861344,0.0270114839077,-0.105359151959,0.992877066135
2021/01/19/22:13:10.957691,670,1611074590,957251863,world,0.236070945859,1.04036188126,0.707138895988,0.0481767430902,0.0298175048083,-0.109112240374,0.992413520813
